timestamp_iso,benchmark_label,input_lfr_rel,lfr_file_stem,success,overall_score,sec_compile_lfr_s,sec_flatten_variant_outputs_s,sec_lfr_to_mint_cumulative_s,sec_lfr_to_unplaced_json_cumulative_s,sec_unplaced_json_to_pr_s,sec_wall_total_s,pr_json_path
2026-07-22T23:40:45+00:00,dropgen/dropletgenerator.lfr,dropgen/dropletgenerator.lfr,dropletgenerator,1,0.483105,0.166493,0.001514,0.168007,0.168028,0.000850,0.168878,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/dropgen/dropletgenerator/dropletgenerator_fromLFR_PR.json
2026-07-22T23:40:46+00:00,dropgen/dropletgenerator2.lfr,dropgen/dropletgenerator2.lfr,dropletgenerator2,1,0.525498,0.188696,0.001525,0.190221,0.190242,0.000977,0.191219,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/dropgen/dropletgenerator2/dropletgenerator2_fromLFR_PR.json
2026-07-22T23:40:47+00:00,dropgen/dropletgenerator3.lfr,dropgen/dropletgenerator3.lfr,dropletgenerator3,1,0.482130,0.202784,0.001739,0.204523,0.204551,0.001261,0.205812,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/dropgen/dropletgenerator3/dropletgenerator3_fromLFR_PR.json
2026-07-22T23:40:48+00:00,dropgen/dropletgenerator4.lfr,dropgen/dropletgenerator4.lfr,dropletgenerator4,1,0.509220,0.189511,0.001406,0.190917,0.190937,0.000920,0.191858,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/dropgen/dropletgenerator4/dropletgenerator4_fromLFR_PR.json
