timestamp_iso,benchmark_label,input_lfr_rel,lfr_file_stem,success,overall_score,sec_compile_lfr_s,sec_flatten_variant_outputs_s,sec_lfr_to_mint_cumulative_s,sec_lfr_to_unplaced_json_cumulative_s,sec_unplaced_json_to_pr_s,sec_wall_total_s,pr_json_path
2026-05-06T20:00:00+00:00,Expressions/expression15.lfr,Expressions/expression15.lfr,expression15,1,0.686132,0.294550,0.001383,0.295932,0.295953,0.002967,0.298920,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/Expressions/expression15/expression15_fromLFR_PR.json
2026-05-06T20:00:01+00:00,Expressions/expression2.lfr,Expressions/expression2.lfr,expression2,1,0.683080,0.222094,0.001473,0.223567,0.223589,0.001435,0.225025,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/Expressions/expression2/expression2_fromLFR_PR.json
2026-05-06T20:00:03+00:00,Expressions/expression3.lfr,Expressions/expression3.lfr,expression3,1,0.681923,0.205439,0.001833,0.207272,0.207302,0.002196,0.209498,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/Expressions/expression3/expression3_fromLFR_PR.json
2026-05-06T20:00:04+00:00,Expressions/expression4.lfr,Expressions/expression4.lfr,expression4,1,0.683943,0.190977,0.001434,0.192410,0.192434,0.001533,0.193967,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/Expressions/expression4/expression4_fromLFR_PR.json
2026-05-06T20:00:05+00:00,Expressions/expression5.lfr,Expressions/expression5.lfr,expression5,1,0.682402,0.262854,0.001821,0.264674,0.264707,0.002621,0.267327,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/Expressions/expression5/expression5_fromLFR_PR.json
2026-05-06T20:00:06+00:00,Expressions/expression6.lfr,Expressions/expression6.lfr,expression6,1,0.688614,0.244022,0.001638,0.245661,0.245691,0.002729,0.248420,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/Expressions/expression6/expression6_fromLFR_PR.json
2026-05-06T20:00:07+00:00,Expressions/expression7.lfr,Expressions/expression7.lfr,expression7,1,0.696610,0.224043,0.001607,0.225651,0.225682,0.001865,0.227547,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/Expressions/expression7/expression7_fromLFR_PR.json
2026-05-06T20:00:08+00:00,Expressions/expression8.lfr,Expressions/expression8.lfr,expression8,1,0.696377,0.235704,0.001445,0.237149,0.237171,0.001512,0.238683,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/Expressions/expression8/expression8_fromLFR_PR.json
2026-05-06T20:00:09+00:00,Expressions/expression9.lfr,Expressions/expression9.lfr,expression9,1,0.681531,0.248650,0.001442,0.250092,0.250115,0.001594,0.251709,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/Expressions/expression9/expression9_fromLFR_PR.json
2026-05-06T20:00:10+00:00,GraphCoverage/cycle.lfr,GraphCoverage/cycle.lfr,cycle,1,0.400558,0.203781,0.001629,0.205409,0.205433,0.000873,0.206307,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/GraphCoverage/cycle/cycle_fromLFR_PR.json
2026-05-06T20:00:11+00:00,GraphCoverage/n_g_m_map.lfr,GraphCoverage/n_g_m_map.lfr,n_g_m_map,1,0.400094,0.176348,0.002586,0.178934,0.178961,0.000754,0.179715,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/GraphCoverage/n_g_m_map/n_g_m_map_fromLFR_PR.json
2026-05-06T20:00:12+00:00,GraphCoverage/n_l_m_map.lfr,GraphCoverage/n_l_m_map.lfr,n_l_m_map,1,0.400094,0.188937,0.001459,0.190396,0.190419,0.000612,0.191031,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/GraphCoverage/n_l_m_map/n_l_m_map_fromLFR_PR.json
2026-05-06T20:00:13+00:00,GraphCoverage/one_to_one.lfr,GraphCoverage/one_to_one.lfr,one_to_one,1,0.700094,0.157604,0.001443,0.159047,0.159074,0.000674,0.159747,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/LFR-TestCases/GraphCoverage/one_to_one/one_to_one_fromLFR_PR.json
